model,sequence,org_func,num_valid,num_invalid,num_shots,num_mc,invalid_fn_type,response_type,answer,logprob,correct,correct_and_pred,incorrect_and_pred,correct_and_not_pred,incorrect_and_not_pred,class_label
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,completion,6,-6.2474065,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,completion,0,-22.753334,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,completion,1,-21.581848,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,completion,1380,-18.7860415,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,completion,6,-6.2474065,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,explanation,1,-6.6988153,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,explanation,2,-0.2150777,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,explanation,3,-1.2898686,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,explanation,4,-7.3260937,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,explanation,5,-10.375019,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,explanation,2,-0.2150777,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,completion,6,-6.6408563,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,completion,7,-15.370536,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,completion,120,-24.64506,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,completion,384,-27.345627,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,completion,0,-23.343307,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,completion,6,-6.6408563,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,explanation,1,-13.388795,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,explanation,2,-12.284164,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,explanation,3,-10.76881,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,explanation,4,-11.470127,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,explanation,5,-9.9022756e-05,incorrect,0,1,0,0,incorrect_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 0, 2)}",2,3,4,5,exclude_class,explanation,5,-9.9022756e-05,pred,0,0,0,0,
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,completion,6,-5.59022,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,completion,7,-12.483974,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,completion,144,-26.391466,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,completion,100,-24.048353,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,completion,15,-19.452564,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,completion,6,-5.59022,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,explanation,1,-17.736483,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,explanation,2,-15.763654,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,explanation,3,-13.284607,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,explanation,4,-12.254311,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,explanation,5,-5.693833e-05,incorrect,0,1,0,0,incorrect_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 1)}",2,3,4,5,exclude_class,explanation,5,-5.693833e-05,pred,0,0,0,0,
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,completion,6,-5.631877,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,completion,6,-5.62906,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,completion,24,-23.035385,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,completion,2,-22.595852,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,completion,0,-21.783228,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,completion,6,-5.631877,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,explanation,1,-5.177633,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,explanation,2,-0.11887042,incorrect,0,1,0,0,incorrect_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,explanation,3,-2.5666878,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,explanation,4,-9.293673,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,explanation,5,-3.4672818,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 2, 2)}",2,3,4,5,exclude_class,explanation,2,-0.11887042,pred,0,0,0,0,
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,completion,6,-5.680291,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,completion,6,-5.680291,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,completion,9,-18.600008,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,completion,6561,-17.063203,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,completion,5832,-16.3763807,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,completion,6,-5.680291,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,explanation,1,-16.477476,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,explanation,2,-16.873901,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,explanation,3,-16.259485,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,explanation,4,-12.332165,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,explanation,5,-4.7399757e-05,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic', 0, 2)}",2,3,4,5,exclude_class,explanation,5,-4.7399757e-05,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,completion,7,-10.414547,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,completion,6,-6.062748,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,completion,3,-22.290077,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,completion,1,-21.701004,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,completion,10,-17.150188,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,completion,6,-6.062748,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,explanation,1,-8.22206,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,explanation,2,-3.9519281,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,explanation,3,-9.057029,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,explanation,4,-0.021688644,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,explanation,5,-5.608902,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bitwise_or', 0, 0)}",2,3,4,5,exclude_class,explanation,4,-0.021688644,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,completion,6,-7.298472,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,completion,6,-7.2805743,correct,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,completion,59049,-14.344103333333331,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,completion,8,-16.147484,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,completion,0,-22.260574,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,completion,6,-7.298472,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,explanation,1,-9.78551,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,explanation,2,-0.0002116928,incorrect,0,1,0,0,incorrect_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 3, 3)}",2,3,4,5,exclude_class,explanation,3,-11.111392,incorrect,0,0,0,1,incorrect_and_not_pred
