original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: 5 ** (1 * x)', 'offset': 0}","[1, 5, 25, 125, 625]",lambda x: 5 ** x,3125,True,True
"{'fn': 'lambda x: (5 * x) ** 3', 'offset': 0}","[0, 125, 1000, 3375, 8000, 15625, 27000, 42875]",lambda x: (5 * x) ** 3,64000,True,True
"{'fn': 'lambda x: (2 * x) ** 4', 'offset': 0}","[0, 16, 256, 1296, 4096, 10000, 20736]",lambda x: (4 * x) ** 2,38416,False,True
"{'fn': 'lambda x: 4 ** (3 * x)', 'offset': 0}","[1, 64, 4096, 262144, 16777216, 1073741824, 68719476736, 4398046511104]",lambda x: 2 ** (6 * x),281474976710656,True,True
"{'fn': 'lambda x: (x * 5) % (2+1)', 'offset': 0}","[0, 2, 1, 0, 2, 1, 0]",lambda x: x % 3,2,False,True
"{'fn': 'lambda x: (5 * x) * 2', 'offset': 0}","[0, 10, 20, 30]",lambda x: (10 * x) + 0,40,True,True
"{'fn': 'lambda x: 4 ** (4 * x)', 'offset': 0}","[1, 256, 65536, 16777216, 4294967296, 1099511627776, 281474976710656, 72057594037927936, 18446744073709551616]",lambda x: 2 ** (8 * x),4722366482869645213696,False,True
"{'fn': 'lambda x: (4 * x) | 4', 'offset': 0}","[4, 4, 12, 12, 20, 20, 28, 28]",lambda x: (x // 2) * 8 + 4,36,True,True
"{'fn': 'lambda x: (1 * x) ** 3', 'offset': 0}","[0, 1, 8, 27, 64, 125]",lambda x: x ** 3,216,True,True
"{'fn': 'lambda x: (x * 2) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: 5 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (2 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0]",lambda x: (6 * x) * 0,0,True,True
"{'fn': 'lambda x: (x * 5) % (0+1)', 'offset': 0}","[0, 0, 0, 0]",lambda x: 0 * x,0,True,True
"{'fn': 'lambda x: (x * 2) % (3+1)', 'offset': 0}","[0, 2, 0, 2, 0, 2, 0, 2, 0]",lambda x: (x % 2) * 2,2,False,True
"{'fn': 'lambda x: 5 ** (3 * x)', 'offset': 0}","[1, 125, 15625]",lambda x: 5 ** (3 * x),1953125,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 1, 2, 6]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else x * fn(fn,x-1))",24,True,True
"{'fn': 'lambda x: (1 * x) ** 4', 'offset': 0}","[0, 1, 16, 81, 256]",lambda x: (x * 2) ** 2,625,False,True
"{'fn': 'lambda x: (1 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,False,True
"{'fn': 'lambda x: (5 * x) | 3', 'offset': 0}","[3, 7, 11]",lambda x: 3 + 4 * x,15,True,True
"{'fn': 'lambda x: (2 * x) ** 3', 'offset': 0}","[0, 8, 64, 216, 512, 1000]",lambda x: x ** 3 * 8,1728,True,True
"{'fn': 'lambda x: 3 ** (2 * x)', 'offset': 0}","[1, 9, 81]",lambda x: (3 ** (2 * x)),729,True,True
"{'fn': 'lambda x: (3 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (x * 3) % (3+1)', 'offset': 0}","[0, 3, 2, 1, 0]",lambda x: (4 - x) % 4,1,True,False
"{'fn': 'lambda x: (x * 3) % (0+1)', 'offset': 0}","[0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (4 * x) * 3', 'offset': 0}","[0, 12, 24, 36]",lambda x: (12 * x) + 0,48,True,True
"{'fn': 'lambda x: (5 * x) + 3', 'offset': 0}","[3, 8, 13, 18]",lambda x: (5 * x) + 3,23,True,True
"{'fn': 'lambda x: 1 ** (3 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (1 * x) | 2', 'offset': 0}","[2, 3, 2, 3]",lambda x: 2 + (x % 2),2,True,False
"{'fn': 'lambda x: (x * 4) % (4+1)', 'offset': 0}","[0, 4, 3]",lambda x: (x * 3) | 1,2,False,True
"{'fn': 'lambda x: (1 * x) | 1', 'offset': 0}","[1, 1, 3, 3, 5, 5, 7]",lambda x: (x // 2) * 2 + 1,7,True,True
"{'fn': 'lambda x: 2 ** (4 * x)', 'offset': 0}","[1, 16, 256, 4096, 65536, 1048576, 16777216, 268435456, 4294967296]",lambda x: 16 ** x,68719476736,False,True
"{'fn': 'lambda x: (3 * x) ** 0', 'offset': 0}","[1, 1, 1]",lambda x: 1,1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 5, 23, 141, 1131, 11313, 135759]",lambda x: (x * 4) * 5 if x == 1 else (x * 4) * 5 * (x - 1),1929503,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 3, 8, 26, 106, 532, 3194, 22360, 178882]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)",1610510,False,False
"{'fn': 'lambda x: (5 * x) * 4', 'offset': 0}","[0, 20, 40, 60]",lambda x: 20 * x,80,True,True
"{'fn': 'lambda x: (2 * x) * 4', 'offset': 0}","[0, 8, 16, 24, 32]",lambda x: 8 * x,40,True,True
"{'fn': 'lambda x: 4 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (x * 4) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (8 * x) ** 0,0,False,True
"{'fn': 'lambda x: (5 * x) ** 2', 'offset': 0}","[0, 25, 100, 225, 400]",lambda x: (5 * x) ** 2,625,True,True
"{'fn': 'lambda x: (3 * x) + 2', 'offset': 0}","[2, 5, 8, 11, 14, 17]",lambda x: 2 + (3 * x),20,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 4, 18, 110, 882]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) * (x+1) + 0)",7938,False,False
"{'fn': 'lambda x: (x * 1) % (4+1)', 'offset': 0}","[0, 1, 2, 3, 4, 0, 1, 2, 3]",lambda x: x % 5,4,False,True
"{'fn': 'lambda x: 2 ** (3 * x)', 'offset': 0}","[1, 8, 64, 512, 4096, 32768, 262144, 2097152, 16777216]",lambda x: 2 ** (3 * x),134217728,False,True
"{'fn': 'lambda x: (5 * x) + 4', 'offset': 0}","[4, 9, 14]",lambda x: (5 * x) | 4,19,False,True
"{'fn': 'lambda x: 3 ** (1 * x)', 'offset': 0}","[1, 3, 9]",lambda x: (3 ** x) * 1,27,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 6, 50, 602, 9634, 192682, 4624370, 129482362, 4143435586]",lambda x: (x * (x - 1) * (x - 2) * (x - 3) * (x - 4) * (x - 5) * (x - 6) * (x - 7) * (x - 8)) + 1,150982684210,False,False
"{'fn': 'lambda x: (x * 5) % (1+1)', 'offset': 0}","[0, 1, 0, 1, 0]",lambda x: x % 2,1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 4, 32, 384]",lambda x: (4 ** x) * (2 ** (x * (x - 1) // 2)),6144,False,True
"{'fn': 'lambda x: (1 * x) | 4', 'offset': 0}","[4, 5, 6]",lambda x: x + 4,7,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (0 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (0 + 1)][x],8,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 7, 72, 1082]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 6 * x * fn(fn,x-1) + 1)",18000,False,False
"{'fn': 'lambda x: (3 * x) | 1', 'offset': 0}","[1, 3, 7]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)",13,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 6, 39, 354, 4251, 63768, 1147827, 24104370, 578504883]",lambda x: (x * 6) ** x - 1,15690529866,False,False
"{'fn': 'lambda x: (x * 4) % (1+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 0),0,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5]",lambda x: (1 * x) | 0,6,True,True
"{'fn': 'lambda x: (3 * x) ** 3', 'offset': 0}","[0, 27, 216, 729, 1728, 3375, 5832]",lambda x: (3 * x) ** 3 - (3 * x),9261,False,True
"{'fn': 'lambda x: (5 * x) | 1', 'offset': 0}","[1, 5, 11, 15, 21, 25]",lambda x: (5 * x) | 1 if x % 2 == 0 else (5 * x) - 1,31,False,True
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6]",lambda x: x + 1,7,True,True
"{'fn': 'lambda x: (3 * x) + 1', 'offset': 0}","[1, 4, 7, 10]",lambda x: (3 * x) + 1,13,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 5, 50, 750, 15000, 375000, 11250000, 393750000]",lambda x: (5 ** x) * (x * (x + 1) // 2),15750000000,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 3, 18, 162, 1944, 29160, 524880, 11022480]",lambda x: (1 if x == 0 else 2 * x) * (3 ** x),264539520,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 4, 25, 226, 2713, 40696, 732529, 15383110, 369194641]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else (x+1) * fn(fn,x-1) ** 2)",10000000000,False,False
"{'fn': 'lambda x: 1 ** (1 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: 5 ** (0 * x),1,True,True
"{'fn': 'lambda x: (4 * x) ** 3', 'offset': 0}","[0, 64, 512, 1728, 4096, 8000, 13824]",lambda x: (2 * x) ** 3 * x,21952,False,True
"{'fn': 'lambda x: 1 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,False,True
"{'fn': 'lambda x: (3 * x) * 3', 'offset': 0}","[0, 9, 18]",lambda x: 9 * x,27,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4]",lambda x: x + 1,5,True,True
"{'fn': 'lambda x: (4 * x) * 4', 'offset': 0}","[0, 16, 32, 48, 64, 80, 96, 112]",lambda x: 16 * x,128,True,True
"{'fn': 'lambda x: (5 * x) + 2', 'offset': 0}","[2, 7, 12, 17, 22, 27]",lambda x: 5 * x + 2,32,True,True
"{'fn': 'lambda x: 4 ** (2 * x)', 'offset': 0}","[1, 16, 256, 4096, 65536, 1048576, 16777216]",lambda x: 16 ** x,268435456,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 2, 5, 16]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else (x * fn(fn,x-1)) + x)",65,False,True
"{'fn': 'lambda x: (x * 4) % (3+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (2 * x) ** 2', 'offset': 0}","[0, 4, 16, 36, 64]",lambda x: (2 * x) ** 2,100,True,True
"{'fn': 'lambda x: (4 * x) ** 4', 'offset': 0}","[0, 256, 4096, 20736, 65536]",lambda x: (4 * x) ** 4,147456,True,False
"{'fn': 'lambda x: (4 * x) ** 2', 'offset': 0}","[0, 16, 64, 144, 256, 400, 576, 784]",lambda x: (4 * x) ** 2,1024,True,True
"{'fn': 'lambda x: (x * 2) % (2+1)', 'offset': 0}","[0, 2, 1, 0, 2, 1, 0]",lambda x: x % 3 if x % 2 == 0 else 2,2,False,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (1 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7, 8]",lambda x: [i for i in range(100) if i % (6 + 1) or i % (0 + 1)][x],9,False,True
"{'fn': 'lambda x: (4 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (5 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0]",lambda x: 0 * x,0,True,True
"{'fn': 'lambda x: (1 * x) ** 2', 'offset': 0}","[0, 1, 4, 9, 16, 25, 36, 49, 64]",lambda x: x ** 2,81,False,True
"{'fn': 'lambda x: (4 * x) * 2', 'offset': 0}","[0, 8, 16, 24, 32, 40, 48, 56]",lambda x: (8 * x) + 0,64,True,True
"{'fn': 'lambda x: (x * 3) % (2+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (9 * x) * 0,0,False,True
"{'fn': 'lambda x: (2 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (x * 3) % (4+1)', 'offset': 0}","[0, 3, 1, 4, 2, 0, 3, 1]",lambda x: x % 4 * (1 - (x % 2) * 2),4,False,True
"{'fn': 'lambda x: 3 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: 5 ** (2 * x)', 'offset': 0}","[1, 25, 625, 15625, 390625]",lambda x: 5 ** (2 * x),9765625,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 9, 94, 1414]",lambda x: (x * 10) ** 2 - (x - 1),28282,False,False
"{'fn': 'lambda x: 3 ** (4 * x)', 'offset': 0}","[1, 81, 6561]",lambda x: (9 * x) ** 2,531441,False,True
"{'fn': 'lambda x: (1 * x) + 4', 'offset': 0}","[4, 5, 6, 7, 8]",lambda x: x + 4,9,True,True
"{'fn': 'lambda x: (x * 5) % (3+1)', 'offset': 0}","[0, 1, 2, 3, 0, 1, 2, 3]",lambda x: x % 4,0,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (3 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7]",lambda x: (1 * x) + 1,8,True,True
"{'fn': 'lambda x: (1 * x) * 0', 'offset': 0}","[0, 0, 0, 0]",lambda x: 0 * (2 * x),0,True,True
"{'fn': 'lambda x: (x * 5) % (4+1)', 'offset': 0}","[0, 0, 0]",lambda x: 0 * x,0,True,True
"{'fn': 'lambda x: (2 * x) + 4', 'offset': 0}","[4, 6, 8, 10]",lambda x: (2 * x) + 2,12,True,True
"{'fn': 'lambda x: (4 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 7, 59, 711, 11379, 227583]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 6 * x * fn(fn,x-1) + 1)",4551667,False,False
"{'fn': 'lambda x: (x * 2) % (4+1)', 'offset': 0}","[0, 2, 4]",lambda x: 2 * x,6,True,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 3, 13, 79, 633, 6331]",lambda x: (x * (x - 1) * (x - 2) * (x - 3) * (x - 4)) + 1,75973,False,True
"{'fn': 'lambda x: (5 * x) ** 4', 'offset': 0}","[0, 625, 10000, 50625]",lambda x: (5 * x) ** 4,146025,True,False
"{'fn': 'lambda x: (x * 2) % (1+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (1 * x) * 4', 'offset': 0}","[0, 4, 8]",lambda x: 4 * x,12,True,True
"{'fn': 'lambda x: (5 * x) * 1', 'offset': 0}","[0, 5, 10]",lambda x: 5 * x,15,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7]",lambda x: x + 1,8,True,True
"{'fn': 'lambda x: 5 ** (4 * x)', 'offset': 0}","[1, 625, 390625, 244140625, 152587890625, 95367431640625, 59604644775390625, 37252902984619140625]",lambda x: 5 ** (4 * x),23283064365386962890625,True,True
"{'fn': 'lambda x: (5 * x) + 1', 'offset': 0}","[1, 6, 11, 16, 21, 26, 31]",lambda x: (5 * x) - 4,36,True,True
"{'fn': 'lambda x: (3 * x) ** 4', 'offset': 0}","[0, 81, 1296]",lambda x: (3 ** (2 * x)) * (x ** 2),6561,False,True
