,model,sequence,org_func,num_valid,num_invalid,num_shots,invalid_fn_type,test_passing_completion,test_passing_explanation,n_valid_compl_in_primed_resp,n_invalid_compl_in_primed_resp,n_valid_expl_in_primed_resp,n_invalid_expl_in_primed_resp,possible_completions_response,possible_explanations_response,Unnamed: 0
10,text-davinci-003,"1,2,3,4","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (1 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 3, 1)}",2,3,6,random,1,0,2,0,0,0,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: x + 1', 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (3 + 1)][x]', 'lambda x: (2 * x) ** 0', 'lambda x: (4 * x) + 3', 'lambda x: (x * 2) % (2+1)']",
11,text-davinci-003,"1,2,3,4","{'fn': 'lambda x: (1 * x) + 0', 'offset': 1, 'metadata': ('arithmetic_progression', 0, 0)}",2,3,6,random,1,0,2,1,0,0,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30']","['lambda x: x + 1', 'lambda x: (1 * x) + 1', 'lambda x: (2 * x) - 1', 'lambda x: (3 * x) - 2', 'lambda x: (4 * x) - 3']",
12,text-davinci-003,"0,1,2,3","{'fn': 'lambda x: (1 * x) ** 1', 'offset': 0, 'metadata': ('exponential_progression', 0, 1)}",2,3,6,random,0,0,2,0,0,0,"['4', '8', '16', '32', '64', '128', '256', '512', '1024', '2048', '4096', '8192', '16384', '32768', '65536', '131072', '262144', '524288', '1048576', '2097152', '4194304', '8388608', '16777216', '33554432', '67108864', '134217728', '268435456', '536870912', '1073741824']","['lambda x: x', 'lambda x: (1 * x) + 0', 'lambda x: (1 * x) + 1', 'lambda x: (1 * x) + 2', 'lambda x: (2 * x) + 0', 'lambda x: (2 * x) + 1', 'lambda x: (2 * x) + 2', 'lambda x: (3 * x) + 0', 'lambda x: (3 * x) + 1', 'lambda x: (3 * x) + 2', 'lambda x: (4 * x) + 0', 'lambda x: (4 * x) + 1', 'lambda x: (4 * x) + 2', 'lambda x: (5 * x) + 0', 'lambda x: (5 * x) + 1', 'lambda x: (5 * x) + 2', 'lambda x: (6 * x) + 0', 'lambda x: (6 * x) + 1', 'lambda x: (6 * x) + 2']",
13,text-davinci-003,"0,1,2,3","{'fn': 'lambda x: (1 * x) | 0', 'offset': 0, 'metadata': ('bit_or_progression', 0, 0)}",2,3,6,random,1,0,2,0,1,0,"['4', '8', '16', '32', '64', '128', '256', '512', '1024', '2048', '4096', '8192', '16384', '32768', '65536', '131072', '262144', '524288', '1048576', '2097152', '4194304', '8388608', '16777216', '33554432', '67108864', '134217728', '268435456', '536870912', '1073741824']","['lambda x: x', 'lambda x: (1 * x) + 0']",
14,text-davinci-003,"0,1,2,3","{'fn': 'lambda x: (1 * x) * 1', 'offset': 0, 'metadata': ('geometric_progression', 0, 1)}",2,3,6,random,0,0,1,2,0,0,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100']","['lambda x: x', 'lambda x: (1 * x) ** 1', 'lambda x: (1 * x) | 0']",
15,text-davinci-003,"0,1,2,3","{'fn': 'lambda x: (1 * x) + 0', 'offset': 0, 'metadata': ('arithmetic_progression', 0, 0)}",2,3,6,random,0,1,2,2,0,0,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50']","['lambda x: x', 'lambda x: (2 * x) | 0', 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (0 + 1)][x]']",
16,text-davinci-003,"0,1,2,3","{'fn': 'lambda x: (x * 1) % (3+1)', 'offset': 0, 'metadata': ('modular_progression', 0, 3)}",2,3,6,random,1,1,1,1,0,0,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: x', 'lambda x: 1 * x']",
17,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) ** 1', 'offset': 2, 'metadata': ('exponential_progression', 0, 1)}",2,3,6,random,1,0,2,1,0,0,"['6', '7', '8', '9', '10']","['lambda x: x + 1', 'lambda x: 2 + x', 'lambda x: (x * 3) % (2+1) + 1']",
18,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) | 0', 'offset': 2, 'metadata': ('bit_or_progression', 0, 0)}",2,3,6,random,1,0,2,1,0,1,"['6', '7', '8', '9', '10']","['lambda x: (1 * x) + 1', 'lambda x: (1 * x) | 2', 'lambda x: (2 * x) - 2']",
19,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria_progression', 2, 2)}",2,3,6,random,1,1,2,0,0,0,"['6', '7', '8', '9', '10']","['lambda x: (x + 1) * 1', 'lambda x: (x + 1) * 2', 'lambda x: (x + 1) * 3', 'lambda x: (x + 1) * 4', 'lambda x: (x + 2) * 1', 'lambda x: (x + 2) * 2', 'lambda x: (x + 2) * 3', 'lambda x: (x + 2) * 4', 'lambda x: (x + 3) * 1', 'lambda x: (x + 3) * 2', 'lambda x: (x + 3) * 3', 'lambda x: (x + 3) * 4', 'lambda x: (x + 4) * 1', 'lambda x: (x + 4) * 2', 'lambda x: (x + 4) * 3', 'lambda x: (x + 4) * 4']",
20,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria_progression', 0, 2)}",2,3,6,random,1,1,2,0,0,0,"['6', '7', '8', '9', '10']","['lambda x: (1 * x) + 1', 'lambda x: (1 * x) + 2', 'lambda x: (1 * x) + 3', 'lambda x: (1 * x) + 4']",
21,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 2', 'offset': 0, 'metadata': ('arithmetic_progression', 0, 2)}",2,3,6,random,1,0,2,1,1,0,"['6', '7', '8', '9', '10']","['lambda x: (1 * x) + 1', 'lambda x: (1 * x) + 2', 'lambda x: (1 * x) + 3', 'lambda x: (1 * x) + 4']",
22,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria_progression', 3, 3)}",2,3,6,random,1,1,2,0,0,0,"['6', '7', '8', '9', '10']","['lambda x: x + 2', 'lambda x: (x * 2) + 1', 'lambda x: (x * 3) + (-1)', 'lambda x: (x * 4) + (-2)']",
23,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria_progression', 1, 1)}",2,3,6,random,0,1,2,0,0,0,"['6', '7', '8', '9', '10', '11', '12', '13', '14', '15']","['lambda x: x + 1', 'lambda x: (1 * x) + 2', 'lambda x: (2 * x) + 0']",
24,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (1 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria_progression', 3, 1)}",2,3,6,random,1,0,2,0,0,0,"['6', '7', '8', '9', '10']","['lambda x: (1 * x) + 1', 'lambda x: (1 * x) + 2', 'lambda x: (2 * x) | 1', 'lambda x: (2 * x) | 2']",
25,text-davinci-003,"2,3,4,5","{'fn': 'lambda x: (1 * x) + 0', 'offset': 2, 'metadata': ('arithmetic_progression', 0, 0)}",2,3,6,random,1,0,2,0,0,0,"['6', '7', '8', '9', '10']","['lambda x: x + 1', 'lambda x: (x * 1) + 2', 'lambda x: (x * 1) + 2 + (x * 1)']",
26,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: (1 * x) ** 1', 'offset': 3, 'metadata': ('exponential_progression', 0, 1)}",2,3,6,random,1,0,2,0,0,0,"['7', '8', '9', '10']","['lambda x: (x * 1) + 3', 'lambda x: (x * 2) + 1', 'lambda x: (x * 3) - 1', 'lambda x: (x * 4) - 3']",
27,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: (1 * x) | 0', 'offset': 3, 'metadata': ('bit_or_progression', 0, 0)}",2,3,6,random,1,0,2,0,0,0,"['7', '9', '11', '13', '15', '17', '19', '21', '23', '25', '27', '29', '31', '33', '35', '37', '39', '41', '43', '45', '47', '49', '51', '53', '55', '57', '59', '61', '63', '65', '67', '69', '71', '73', '75', '77', '79', '81', '83', '85', '87', '89', '91', '93', '95', '97', '99']","['lambda x: (x * 1) + 3', 'lambda x: (x * 2) + 1', 'lambda x: (x * 3) - 1']",
28,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (2 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 3, 2)}",2,3,6,random,0,0,2,1,0,0,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: (1 * x) | 3', 'lambda x: (1 * x) + 3', 'lambda x: (1 * x) ** 3']",
29,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: (1 * x) + 1', 'offset': 2, 'metadata': ('arithmetic_progression', 0, 1)}",2,3,6,random,1,0,2,1,0,0,"['7', '8', '9', '10']","['lambda x: (x + 1) % (3+1)', 'lambda x: (x * 1) % (3+1)', 'lambda x: (x * 2) % (3+1)', 'lambda x: (x * 3) % (3+1)']",
30,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 2, 2)}",2,3,6,random,1,1,2,1,0,0,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: x + 2', 'lambda x: (2 * x) - 1', 'lambda x: (3 * x) - 2']",
31,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: (1 * x) + 2', 'offset': 1, 'metadata': ('arithmetic_progression', 0, 2)}",2,3,6,random,1,0,2,0,0,0,"['7', '8', '9', '10']","['lambda x: x + 3', 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'lambda x: (x * 1) % (3+1)']",
32,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 3, 3)}",2,3,6,random,1,0,2,1,0,0,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16']","['lambda x: (x * 1) % (7+1)', 'lambda x: (x * 3) % (4+1)', 'lambda x: (x * 2) % (5+1)', 'lambda x: (x * 4) % (3+1)']",
33,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: (1 * x) * 1', 'offset': 3, 'metadata': ('geometric_progression', 0, 1)}",2,3,6,random,1,1,2,1,0,0,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: (1 * x) + 2', 'lambda x: (2 * x) - 1', 'lambda x: (3 * x) - 3']",
34,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (1 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 3, 1)}",2,3,6,random,0,0,2,1,0,0,"['7', '8', '9', '10', '11', '12']","['lambda x: x + 3', 'lambda x: (x * 1) + 3', 'lambda x: (x * 2) + 1', 'lambda x: (x * 3) - 1']",
35,text-davinci-003,"3,4,5,6","{'fn': 'lambda x: (1 * x) + 0', 'offset': 3, 'metadata': ('arithmetic_progression', 0, 0)}",2,3,6,random,1,0,2,1,0,0,"['7', '8', '9', '10']","['lambda x: (x + 3) * 1', 'lambda x: (x * 1) + 3', 'lambda x: (x * 1) % (3 + 1)']",
36,text-davinci-003,"0,3,6,9","{'fn': 'lambda x: (3 * x) | 0', 'offset': 0, 'metadata': ('bit_or_progression', 2, 0)}",2,3,6,random,1,0,2,0,1,0,"['12', '15', '18', '21', '24', '27', '30']","['lambda x: (3 * x) * 0', 'lambda x: (3 * x) + 0', 'lambda x: (1 * x) * 3']",
37,text-davinci-003,"0,3,6,9","{'fn': 'lambda x: (3 * x) * 1', 'offset': 0, 'metadata': ('geometric_progression', 2, 1)}",2,3,6,random,1,1,2,0,1,0,"['12', '15', '18', '21']","['lambda x: 3 * x', 'lambda x: (1 * x) ** 2', 'lambda x: (2 * x) + 1', 'lambda x: (3 * x) ** 1']",
38,text-davinci-003,"0,3,6,9","{'fn': 'lambda x: (3 * x) ** 1', 'offset': 0, 'metadata': ('exponential_progression', 2, 1)}",2,3,6,random,1,1,2,0,2,0,"['12', '15', '18', '21', '24', '27', '30', 'etc.']","['lambda x: 3 * x', 'lambda x: (3 * x) + 0', 'lambda x: (3 * x) ** 1', 'lambda x: (3 * x) | 0']",
39,text-davinci-003,"0,3,6,9","{'fn': 'lambda x: (1 * x) * 3', 'offset': 0, 'metadata': ('geometric_progression', 0, 3)}",2,3,6,random,1,0,2,0,1,0,"['12', '15', '18', '21', '24', '27', '30']","['lambda x: (3 * x) + 0', 'lambda x: (1 * x) * 3', 'lambda x: (2 * x) ** 2', 'lambda x: (4 * x) / 4']",
40,text-davinci-003,"0,3,6,9","{'fn': 'lambda x: (3 * x) + 0', 'offset': 0, 'metadata': ('arithmetic_progression', 2, 0)}",2,3,6,random,1,0,2,1,1,0,"['12', '15', '18', '21', '24', '27', '30']","['lambda x: (3 * x) + 0', 'lambda x: (3 * x) + 3 - 3', 'lambda x: (3 * x) - 3 + 3', 'lambda x: (3 * x) - 3']",
41,text-davinci-003,"3,6,9,12","{'fn': 'lambda x: (3 * x) ** 1', 'offset': 1, 'metadata': ('exponential_progression', 2, 1)}",2,3,6,random,1,1,2,1,0,0,"['15', '18', '21', '24', '27', '30']","['lambda x: (x * 3) % (4+1)', 'lambda x: (x * 3) % (5+1)', 'lambda x: (x * 3) % (6+1)', 'lambda x: (x * 3) % (7+1)', 'lambda x: (x * 3) % (8+1)', 'lambda x: (x * 3) % (9+1)', 'lambda x: (x * 3) % (10+1)', 'lambda x: (x * 3) % (11+1)', 'lambda x: (x * 3) % (12+1)']",
42,text-davinci-003,"3,6,9,12","{'fn': 'lambda x: (1 * x) * 3', 'offset': 1, 'metadata': ('geometric_progression', 0, 3)}",2,3,6,random,1,0,2,1,0,1,"['15', '18', '21', '24']","['lambda x: (3 * x) + 0', 'lambda x: (3 * x) + 1', 'lambda x: (3 * x) + 2', 'lambda x: (3 * x) + 3']",
43,text-davinci-003,"6,9,12,15","{'fn': 'lambda x: (3 * x) | 0', 'offset': 2, 'metadata': ('bit_or_progression', 2, 0)}",2,3,6,random,1,0,2,0,2,0,"['18', '21', '24']","['lambda x: (3 * x) + 3', 'lambda x: (3 * x) | 0', 'lambda x: (3 * x) * 1', 'lambda x: (3 * x) - 3']",
44,text-davinci-003,"6,9,12,15","{'fn': 'lambda x: (3 * x) * 1', 'offset': 2, 'metadata': ('geometric_progression', 2, 1)}",2,3,6,random,1,0,2,0,1,0,"['18', '21', '24', '27']","['lambda x: (3 * x) + 3', 'lambda x: (3 * x) | 0', 'lambda x: (3 * x) ** 0', 'lambda x: (3 * x) | 3']",
45,text-davinci-003,"6,9,12,15","{'fn': 'lambda x: (3 * x) ** 1', 'offset': 2, 'metadata': ('exponential_progression', 2, 1)}",2,3,6,random,1,1,2,0,1,0,"['18', '21', '24', '27']","['lambda x: (3 * x) + 3', 'lambda x: (3 * x) | 3', 'lambda x: (3 * x) - 3', 'lambda x: (3 * x) ^ 3']",
46,text-davinci-003,"6,9,12,15","{'fn': 'lambda x: (1 * x) * 3', 'offset': 2, 'metadata': ('geometric_progression', 0, 3)}",2,3,6,random,1,1,2,0,0,0,"['18', '21', '24', '27']","['lambda x: (3 * x) + 3', 'lambda x: (x * 3) + 3', 'lambda x: (x * 4) - 3', 'lambda x: (4 * x) - 3']",
47,text-davinci-003,"6,9,12,15","{'fn': 'lambda x: (3 * x) + 0', 'offset': 2, 'metadata': ('arithmetic_progression', 2, 0)}",2,3,6,random,1,0,2,0,0,0,"['18', '21', '24', '27']","['lambda x: (1 * x) + 3', 'lambda x: (3 * x) | 2', 'lambda x: (2 * x) + 3']",
48,text-davinci-003,"6,9,12,15","{'fn': 'lambda x: (3 * x) + 3', 'offset': 1, 'metadata': ('arithmetic_progression', 2, 3)}",2,3,6,random,1,1,2,0,2,0,"['18', '21', '24']","['lambda x: (1 * x) * 3', 'lambda x: (3 * x) + 3', 'lambda x: (3 * x) + 4', 'lambda x: (3 * x) - 3']",
49,text-davinci-003,"9,12,15,18","{'fn': 'lambda x: (3 * x) | 0', 'offset': 3, 'metadata': ('bit_or_progression', 2, 0)}",2,3,6,random,1,1,2,0,1,0,"['21', '24', '27', '30']","['lambda x: (1 * x) * 3', 'lambda x: (3 * x) ** 0', 'lambda x: (3 * x) | 0', 'lambda x: (3 * x) | 3']",
50,text-davinci-003,"9,12,15,18","{'fn': 'lambda x: (3 * x) * 1', 'offset': 3, 'metadata': ('geometric_progression', 2, 1)}",2,3,6,random,1,1,2,0,0,0,"['21', '24', '27', '30']","['lambda x: (3 * x) + 6', 'lambda x: (x * 3) + 3', 'lambda x: (x * 4) + 3']",
51,text-davinci-003,"9,12,15,18","{'fn': 'lambda x: (3 * x) ** 1', 'offset': 3, 'metadata': ('exponential_progression', 2, 1)}",2,3,6,random,1,0,2,0,1,0,"['21', '24', '27', '30']","['lambda x: (3 * x) + 3', 'lambda x: (4 * x) - 3', 'lambda x: (5 * x) - 6']",
52,text-davinci-003,"9,12,15,18","{'fn': 'lambda x: (1 * x) * 3', 'offset': 3, 'metadata': ('geometric_progression', 0, 3)}",2,3,6,random,1,0,2,0,0,0,"['21', '24', '27', '30']","['lambda x: (3 * x) + 0', 'lambda x: (3 * x) + 3', 'lambda x: (3 * x) - 6', 'lambda x: (3 * x) - 3']",
53,text-davinci-003,"9,12,15,18","{'fn': 'lambda x: (3 * x) + 0', 'offset': 3, 'metadata': ('arithmetic_progression', 2, 0)}",2,3,6,random,1,0,2,0,0,0,"['21', '24', '27', '30']","['lambda x: (3 * x) + 3', 'lambda x: (3 * x) | 0', 'lambda x: (3 * x) % (4+1)']",
54,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (2 + 1)][x]', 'offset': 3, 'metadata': ('indexing_criteria_progression', 3, 2)}",2,3,6,random,0,0,2,1,0,1,"['8', '9', '10']","['lambda x: (x * 4) % (4+1)', 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'lambda x: (x * 3) % (4+1)', 'lambda x: (x * 2) % (4+1)']",
55,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: (1 * x) + 1', 'offset': 3, 'metadata': ('arithmetic_progression', 0, 1)}",2,3,6,random,1,0,2,1,0,0,"['8', '9', '10', '11', '12', '13', '14', '15']","['lambda x: x + 4', 'lambda x: (1 * x) + 4', 'lambda x: (2 * x) | 4', 'lambda x: (3 * x) - 2']",
56,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 3, 'metadata': ('indexing_criteria_progression', 2, 2)}",2,3,6,random,1,1,2,0,0,0,"['8', '9', '10', '11', '12']","['lambda x: (x + 4)', 'lambda x: (2 * x) + 2', 'lambda x: (3 * x) - 1', 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (4 + 1)][x]']",
57,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: (1 * x) + 3', 'offset': 1, 'metadata': ('arithmetic_progression', 0, 3)}",2,3,6,random,0,1,2,0,0,0,"['8', '9', '10', '11', '12', '13', '14', '15']","['lambda x: (x + 4) | 0', 'lambda x: (x * 1) + 4', 'lambda x: (x * 2) + 2', 'lambda x: (x * 3) + 1']",
58,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 3, 'metadata': ('indexing_criteria_progression', 1, 3)}",2,3,6,random,1,1,2,0,0,0,"['8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: (1 * x) + 3', 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (0 + 1)][x]', 'lambda x: (1 * x) + 4']",
59,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: (1 * x) + 2', 'offset': 2, 'metadata': ('arithmetic_progression', 0, 2)}",2,3,6,random,1,0,2,1,0,0,"['8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: (x * 1) + 4', 'lambda x: (x * 1) + 3 + 1', 'lambda x: (x * 2) + 2', 'lambda x: (x * 3) + 1']",
60,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 3, 'metadata': ('indexing_criteria_progression', 3, 3)}",2,3,6,random,1,1,2,1,1,1,"['8', '9', '10', '11', '12', '13', '14', '15']","['lambda x: (1 * x) + 3', 'lambda x: (1 * x) + 4', 'lambda x: (2 * x) + 2', 'lambda x: (3 * x) | 1', 'lambda x: (4 * x) % (3+1)']",
61,text-davinci-003,"4,5,6,7","{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (1 + 1)][x]', 'offset': 3, 'metadata': ('indexing_criteria_progression', 3, 1)}",2,3,6,random,1,0,2,1,0,0,"['8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']","['lambda x: (x * 1) + 4', 'lambda x: (x * 1) + 3 + 1', 'lambda x: (x * 1) + 2 + 2', 'lambda x: (x * 1) + 1 + 3']",
62,text-davinci-003,"0,1,2,0","{'fn': 'lambda x: (x * 4) % (2+1)', 'offset': 3, 'metadata': ('modular_progression', 3, 2)}",2,3,6,random,0,0,0,0,0,0,"['4', '0']","['lambda x: (2 * x) % 3', 'lambda x: (3 * x) % 4', 'lambda x: (4 * x) % 5']",
