original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: 4 ** (3 * x)', 'offset': 0}","[1, 64, 4096, 262144, 16777216, 1073741824, 68719476736]",lambda x: (x * 2) * (x * 2),1073741824,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 5, 41, 493, 7889]",lambda x: (2 * x) ** (1 + x),8,False,False
"{'fn': 'lambda x: (x * 5) % (2+1)', 'offset': 0}","[0, 2, 1, 0, 2]",lambda x: (2 * x) + (2 * x),0,False,False
"{'fn': 'lambda x: (5 * x) * 2', 'offset': 0}","[0, 10, 20, 30, 40, 50, 60, 70, 80]",lambda x: (1 * x) ** 3,90,False,True
"{'fn': 'lambda x: 4 ** (4 * x)', 'offset': 0}","[1, 256, 65536, 16777216, 4294967296, 1099511627776]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 2)",1073741824,False,False
"{'fn': 'lambda x: (4 * x) | 4', 'offset': 0}","[4, 4, 12, 12, 20, 20]",lambda x: (2 * x) | (2 * x),40,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 5, 32, 290, 3482, 52232, 940178]",lambda x: (1 + x) ** (1 + x),0,False,False
"{'fn': 'lambda x: (1 * x) ** 3', 'offset': 0}","[0, 1, 8, 27, 64]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 3)",128,False,False
"{'fn': 'lambda x: 5 ** (0 * x)', 'offset': 0}","[1, 1, 1]",lambda x: (3 * x) ** 1,1,False,True
"{'fn': 'lambda x: (2 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 0) % (0+1),0,True,True
"{'fn': 'lambda x: (x * 5) % (0+1)', 'offset': 0}","[0, 0, 0, 0]",lambda x: (0 if x==0 else 0),0,True,True
"{'fn': 'lambda x: (x * 2) % (3+1)', 'offset': 0}","[0, 2, 0, 2, 0]",lambda x: (2 * x) ** 2,0,False,False
"{'fn': 'lambda x: 5 ** (3 * x)', 'offset': 0}","[1, 125, 15625, 1953125, 244140625, 30517578125]",lambda x: (1 * x) ** 5,3125,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 1, 2, 6]",lambda x: (1 * x) | 2,7,False,False
"{'fn': 'lambda x: (1 * x) ** 4', 'offset': 0}","[0, 1, 16]",lambda x: (2 * x) | (1 + x),16,False,False
"{'fn': 'lambda x: (3 * x) | 4', 'offset': 0}","[4, 7, 6, 13, 12]",lambda x: (2 * x) | (3 * x),19,False,False
"{'fn': 'lambda x: (1 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 5) % (1+1),1,False,True
"{'fn': 'lambda x: (5 * x) | 3', 'offset': 0}","[3, 7, 11, 15, 23, 27, 31, 35]",lambda x: (2 * x) * (2 * x),49,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 5, 14, 46, 188, 944]",lambda x: (4 * x) | 1,944,False,False
"{'fn': 'lambda x: (2 * x) ** 3', 'offset': 0}","[0, 8, 64]",lambda x: (8 * x) * 2,128,False,False
"{'fn': 'lambda x: 3 ** (2 * x)', 'offset': 0}","[1, 9, 81, 729, 6561]",lambda x: (x * (x + 1)) | (x * (x + 2)),9,False,False
"{'fn': 'lambda x: (x * 3) % (3+1)', 'offset': 0}","[0, 3, 2, 1, 0, 3]",lambda x: (x * 3) % (4+1),0,False,False
"{'fn': 'lambda x: (x * 3) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 4) % (1+1),0,False,True
"{'fn': 'lambda x: (4 * x) * 3', 'offset': 0}","[0, 12, 24, 36, 48]",lambda x: (2 * x) * 1,60,False,True
"{'fn': 'lambda x: (5 * x) + 3', 'offset': 0}","[3, 8, 13, 18, 23]",lambda x: (x * 2) % (2+1),29,False,False
"{'fn': 'lambda x: 1 ** (3 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 2) % (1+1),2,False,False
"{'fn': 'lambda x: (1 * x) | 2', 'offset': 0}","[2, 3, 2, 3]",lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x],5,False,False
"{'fn': 'lambda x: (1 * x) | 1', 'offset': 0}","[1, 1, 3, 3, 5, 5]",lambda x: [i for i in range(100) if i % (1 + 1) or i % (0 + 1)][x],7,False,True
"{'fn': 'lambda x: (2 * x) | 4', 'offset': 0}","[4, 6, 4, 6, 12, 14, 12, 14, 20]",lambda x: (x * 2) | 0,20,False,False
"{'fn': 'lambda x: (3 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (1 * x) * (1 + 1),2,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 5, 23, 141, 1131, 11313]",lambda x: (x * 2) % (1+1),11331,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 3, 8, 26]",lambda x: (x * 2) % (1+1),27,False,False
"{'fn': 'lambda x: (5 * x) * 4', 'offset': 0}","[0, 20, 40]",lambda x: (3 * x) * (3 * x),60,False,True
"{'fn': 'lambda x: (2 * x) * 4', 'offset': 0}","[0, 8, 16, 24, 32, 40, 48, 56]",lambda x: (x * 2) % (3+1),64,False,True
"{'fn': 'lambda x: 4 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: (1 * x) * (1+1),1,False,True
"{'fn': 'lambda x: (x * 4) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: (x * 1) % (0+1),0,True,True
"{'fn': 'lambda x: (5 * x) ** 2', 'offset': 0}","[0, 25, 100]",lambda x: (x * 2) % (5+1),125,False,False
"{'fn': 'lambda x: (3 * x) + 2', 'offset': 0}","[2, 5, 8, 11, 14, 17]",lambda x: (3 * x) | 1,22,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 4, 18, 110, 882]",lambda x: (2 * x) * (2 * x),"1,000,000",False,False
"{'fn': 'lambda x: (x * 1) % (4+1)', 'offset': 0}","[0, 1, 2, 3, 4]",lambda x: (1 + x) ** (1 * x),5,False,False
"{'fn': 'lambda x: 2 ** (3 * x)', 'offset': 0}","[1, 8, 64, 512, 4096, 32768, 262144, 2097152]",lambda x: (1 * x) * (1 + x),8192,False,False
"{'fn': 'lambda x: (5 * x) + 4', 'offset': 0}","[4, 9, 14, 19, 24, 29, 34, 39]",lambda x: [i for i in range(100) if i % (9 + 1) or i % (4 + 1)][x],49,False,False
"{'fn': 'lambda x: 3 ** (1 * x)', 'offset': 0}","[1, 3, 9, 27, 81, 243, 729]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)",243,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 6, 50]",lambda x: (x * 1) % (6+1),100,False,False
"{'fn': 'lambda x: (x * 5) % (1+1)', 'offset': 0}","[0, 1, 0, 1, 0, 1, 0]",lambda x: (1 * x) * (1 * x),0,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 4, 32, 384, 6144, 122880, 2949120]",lambda x: (4 * x) | 0,5120,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (0 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7, 8]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else fn(fn,x-1) + 0)",16,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 7, 72, 1082, 21642, 541052, 16231562, 568104672, 22724186882]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)",2,False,False
"{'fn': 'lambda x: (3 * x) | 1', 'offset': 0}","[1, 3, 7, 9, 13, 15, 19]",lambda x: (1 * x) * (1 + x),27,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 6, 61]",lambda x: (2 * x) * (2 * x),62,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 6, 39, 354]",lambda x: (x * 2) % (2+1),839,False,False
"{'fn': 'lambda x: (x * 4) % (1+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (0 * x) * (0 * x),0,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7]",lambda x: (x * 2) + (x * 3) + (x * 4) + (x * 5) + (x * 6) + (x * 7),14,False,False
"{'fn': 'lambda x: (2 * x) | 2', 'offset': 0}","[2, 2, 6, 6]",lambda x: (x * 2) % (2+1),8,False,False
"{'fn': 'lambda x: (3 * x) ** 3', 'offset': 0}","[0, 27, 216, 729, 1728, 3375, 5832, 9261]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 3)",1209,False,False
"{'fn': 'lambda x: (5 * x) | 1', 'offset': 0}","[1, 5, 11, 15, 21]",lambda x: (3 * x) | 1,36,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3]",lambda x: (1 * x) + (2 * x),4,False,True
"{'fn': 'lambda x: (3 * x) + 1', 'offset': 0}","[1, 4, 7, 10]",lambda x: (x * 2) + 1,15,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 5, 50, 750, 15000]",lambda x: (1 * x) ** (1/2 + x),20000,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 3, 18, 162, 1944, 29160]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 2)",29161,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 4, 25, 226]",lambda x: (2 * x) * (2 * x),"5,625",False,False
"{'fn': 'lambda x: 1 ** (1 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (1 * x) | 0,2,False,False
"{'fn': 'lambda x: (4 * x) ** 3', 'offset': 0}","[0, 64, 512]",lambda x: (x * 2) % (1 + 1),1024,False,False
"{'fn': 'lambda x: 1 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1 ** (1 * x),2,True,False
"{'fn': 'lambda x: (3 * x) * 3', 'offset': 0}","[0, 9, 18, 27, 36]",lambda x: (4 * x) ** 2,54,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7, 8, 9]",lambda x: (x * 2) | (x * 3) | (x * 4) | (x * 5) | (x * 6) | (x * 7) | (x * 8) | (x * 9),10,False,True
"{'fn': 'lambda x: (4 * x) * 4', 'offset': 0}","[0, 16, 32, 48, 64, 80]",lambda x: (2 * x) * (2 * x),96,False,True
"{'fn': 'lambda x: (5 * x) + 2', 'offset': 0}","[2, 7, 12, 17]",lambda x: (2 * x) | 0,25,False,False
"{'fn': 'lambda x: 4 ** (2 * x)', 'offset': 0}","[1, 16, 256, 4096, 65536, 1048576, 16777216, 268435456]",lambda x: (5 * x) ** (2 * x),536870912,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 2, 5]",lambda x: (x * 2) % (1+1),3,False,False
"{'fn': 'lambda x: (x * 4) % (3+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 0) | 0,0,True,True
"{'fn': 'lambda x: (2 * x) ** 2', 'offset': 0}","[0, 4, 16, 36, 64, 100, 144]",lambda x: (4 * x) ** 2,128,False,False
"{'fn': 'lambda x: (4 * x) ** 4', 'offset': 0}","[0, 256, 4096, 20736, 65536, 160000]",lambda x: (2 * x) * (2 * x),16777216,False,False
"{'fn': 'lambda x: (4 * x) ** 2', 'offset': 0}","[0, 16, 64, 144]",lambda x: (1 * x) | (2 * x) | (3 * x) | (4 * x),256,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 8, 83, 1248, 24963]",lambda x: [i for i in range(100) if i % (8 + 1) or i % (0 + 1)][x],1248,False,False
"{'fn': 'lambda x: (x * 2) % (2+1)', 'offset': 0}","[0, 2, 1]",lambda x: (x * 2) % (1+1),3,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (1 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7, 8, 9, 10]",lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1) or i % (3 + 1) or i % (4 + 1) or i % (5 + 1)][x],11,False,True
"{'fn': 'lambda x: (5 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (1 * x) * 0,0,False,True
"{'fn': 'lambda x: (1 * x) ** 2', 'offset': 0}","[0, 1, 4, 9]",lambda x: (4 * x) + 0,5,False,False
"{'fn': 'lambda x: (4 * x) * 2', 'offset': 0}","[0, 8, 16, 24, 32, 40, 48, 56]",lambda x: (8 * x) | (4 * x),64,False,True
"{'fn': 'lambda x: (x * 3) % (2+1)', 'offset': 0}","[0, 0, 0]",lambda x: (1 * x) + 0,0,False,True
"{'fn': 'lambda x: (2 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 2) % (0+1),1,False,True
"{'fn': 'lambda x: (x * 3) % (4+1)', 'offset': 0}","[0, 3, 1, 4, 2, 0, 3]",lambda x: (x * 3) | (x * 4),1,False,True
"{'fn': 'lambda x: 3 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: (x * x) % (2+1),1,True,True
"{'fn': 'lambda x: 5 ** (2 * x)', 'offset': 0}","[1, 25, 625, 15625, 390625]",lambda x: (2 * x) ** (3 * x),15625,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 9, 94]",lambda x: (x * 9) % (1+1),99,False,False
"{'fn': 'lambda x: 3 ** (4 * x)', 'offset': 0}","[1, 81, 6561, 531441]",lambda x: (2 * x) + 1,8589934591,False,False
"{'fn': 'lambda x: (1 * x) + 4', 'offset': 0}","[4, 5, 6, 7, 8, 9]",lambda x: (4 * x) | (5 * x),12,False,False
"{'fn': 'lambda x: (x * 5) % (3+1)', 'offset': 0}","[0, 1, 2, 3]",lambda x: (x * 2) % (3+1),4,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (3 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6]",lambda x: (1 * x) * (1 + x),7,False,True
"{'fn': 'lambda x: (1 * x) * 0', 'offset': 0}","[0, 0, 0]",lambda x: (x * 0) % (0+1),0,True,True
"{'fn': 'lambda x: (3 * x) | 2', 'offset': 0}","[2, 3, 6]",lambda x: (1 * x) + (1 * x),7,False,False
"{'fn': 'lambda x: (x * 5) % (4+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 3) % (0+1),0,True,True
"{'fn': 'lambda x: (2 * x) + 4', 'offset': 0}","[4, 6, 8, 10, 12, 14]",lambda x: (4 * x) | (6 * x) | (8 * x) | (10 * x) | (12 * x) | (14 * x),18,False,False
"{'fn': 'lambda x: (4 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 2) % (1+1),1,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 7, 59]",lambda x: (x * 7) % (2+1),60,False,False
"{'fn': 'lambda x: (x * 2) % (4+1)', 'offset': 0}","[0, 2, 4]",lambda x: (2 * x) + (4 * x),6,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 3, 13, 79, 633]",lambda x: (x * 2) * (x * 2),2187,False,False
"{'fn': 'lambda x: (5 * x) ** 4', 'offset': 0}","[0, 625, 10000, 50625]",lambda x: (2 * x) ** (2 * x),62500,False,False
"{'fn': 'lambda x: (x * 2) % (1+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 5) % (1+1),0,False,True
"{'fn': 'lambda x: (1 * x) * 4', 'offset': 0}","[0, 4, 8]",lambda x: (x * 4) % (3+1),12,False,True
"{'fn': 'lambda x: (5 * x) * 1', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30, 35]",lambda x: (2 * x) | (3 * x),40,False,True
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4]",lambda x: [i for i in range(100) if i % (4 + 1) or i % (0 + 1)][x],6,True,False
"{'fn': 'lambda x: 5 ** (4 * x)', 'offset': 0}","[1, 625, 390625, 244140625, 152587890625, 95367431640625, 59604644775390625, 37252902984619140625]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else x * fn(fn,x-1) + 1)",1,False,False
"{'fn': 'lambda x: (5 * x) + 1', 'offset': 0}","[1, 6, 11, 16, 21, 26, 31, 36]",lambda x: [i for i in range(100) if i % (4 + 1) or i % (2 + 1)][x],41,False,True
