original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (x * 1) % (4+1)', 'offset': 0}","[0, 1, 2, 3, 4]",lambda x: (1 * x) + 0,5,True,False
"{'fn': 'lambda x: 2 ** (3 * x)', 'offset': 0}","[1, 8, 64, 512, 4096, 32768]",lambda x: 2 ** (3 * x + 1),262144,False,True
"{'fn': 'lambda x: (5 * x) + 4', 'offset': 0}","[4, 9, 14, 19, 24, 29]",lambda x: (5 * x) - 1,34,True,True
"{'fn': 'lambda x: 3 ** (1 * x)', 'offset': 0}","[1, 3, 9, 27, 81, 243]",lambda x: 3 ** x,729,True,True
"{'fn': 'lambda x: (x * 5) % (1+1)', 'offset': 0}","[0, 1, 0, 1]",lambda x: x % 2,0,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 4, 32, 384, 6144]",lambda x: 2 ** (x * (x + 1)),122880,False,True
"{'fn': 'lambda x: (1 * x) | 4', 'offset': 0}","[4, 5, 6, 7]",lambda x: x + 4,8,True,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 2)', 'offset': 0}","[1, 7, 72, 1082, 21642, 541052, 16231562]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 2)",648945252,True,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 6, 61, 916]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 1)",13721,True,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 6, 39, 354, 4251, 63768, 1147827, 24104370, 578504883]",lambda x: (x + 1) * (6 ** x) - 1,15698592666,False,False
"{'fn': 'lambda x: (x * 4) % (1+1)', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: 0 * x,0,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3]",lambda x: x + 1,4,True,True
"{'fn': 'lambda x: (2 * x) | 2', 'offset': 0}","[2, 2, 6, 6, 10, 10]",lambda x: (2 * (x // 2)) + (4 * (x // 2)),14,False,True
"{'fn': 'lambda x: (3 * x) ** 3', 'offset': 0}","[0, 27, 216, 729, 1728, 3375, 5832, 9261]",lambda x: (3 * x) ** 3,13824,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7, 8]",lambda x: x + 1,9,True,True
"{'fn': 'lambda x: (3 * x) + 1', 'offset': 0}","[1, 4, 7, 10, 13, 16, 19, 22]",lambda x: (3 * x) + 1,25,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 3, 18, 162, 1944, 29160]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) * 3)",524880,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 4, 25]",lambda x: (2 * x + 1) ** 2,676,False,False
"{'fn': 'lambda x: 1 ** (1 * x)', 'offset': 0}","[1, 1, 1, 1]",lambda x: (0 * x) + 1,1,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 6, 7]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (5 + 1)][x],8,True,True
"{'fn': 'lambda x: (4 * x) ** 3', 'offset': 0}","[0, 64, 512, 1728, 4096, 8000]",lambda x: (x + 1) ** 3 * 64 * x,13824,False,True
"{'fn': 'lambda x: 1 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (3 * x) * 3', 'offset': 0}","[0, 9, 18, 27, 36, 45, 54]",lambda x: (9 * x),63,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7, 8, 9]",lambda x: x + 1,10,False,True
"{'fn': 'lambda x: (4 * x) * 4', 'offset': 0}","[0, 16, 32, 48, 64, 80]",lambda x: (16 * x) + 0,96,True,True
"{'fn': 'lambda x: (5 * x) + 2', 'offset': 0}","[2, 7, 12]",lambda x: (5 * x) - 3,17,True,True
"{'fn': 'lambda x: 4 ** (2 * x)', 'offset': 0}","[1, 16, 256, 4096]",lambda x: 2 ** (4 * x),65536,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 2, 5, 16, 65, 326, 1957]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else (x+1) * fn(fn,x-1) + 0)",13700,False,True
"{'fn': 'lambda x: (x * 4) % (3+1)', 'offset': 0}","[0, 0, 0]",lambda x: (x * 3) % (0+1),0,True,True
"{'fn': 'lambda x: (2 * x) ** 2', 'offset': 0}","[0, 4, 16, 36, 64, 100, 144, 196]",lambda x: (2 * x) ** 2,256,True,True
"{'fn': 'lambda x: (4 * x) ** 4', 'offset': 0}","[0, 256, 4096]",lambda x: (2 ** (4 * x)) * x,46656,False,False
"{'fn': 'lambda x: (4 * x) ** 2', 'offset': 0}","[0, 16, 64, 144, 256, 400, 576]",lambda x: (4 * x) ** 2,784,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 8, 83]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 3)",There isn't enough information to determine a specific pattern for this sequence. Please provide more terms or information about the sequence.,False,False
"{'fn': 'lambda x: (x * 2) % (2+1)', 'offset': 0}","[0, 2, 1, 0, 2, 1, 0, 2]",lambda x: x % 3,1,False,True
"{'fn': 'lambda x: (4 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (5 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 0),0,True,True
"{'fn': 'lambda x: (1 * x) ** 2', 'offset': 0}","[0, 1, 4, 9, 16, 25]",lambda x: x**2,36,True,True
"{'fn': 'lambda x: (4 * x) * 2', 'offset': 0}","[0, 8, 16, 24, 32, 40, 48, 56, 64]",lambda x: 8 * x,72,False,True
"{'fn': 'lambda x: (x * 3) % (2+1)', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: (5 * x) * 0,0,True,True
"{'fn': 'lambda x: (2 * x) ** 0', 'offset': 0}","[1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (x * 3) % (4+1)', 'offset': 0}","[0, 3, 1]",lambda x: (x * 2) % 3,4,False,True
"{'fn': 'lambda x: 3 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: 6 ** (0 * x),1,True,True
"{'fn': 'lambda x: 5 ** (2 * x)', 'offset': 0}","[1, 25, 625, 15625, 390625, 9765625, 244140625]",lambda x: 25 ** x,6103515625,True,True
"{'fn': 'lambda x: 3 ** (4 * x)', 'offset': 0}","[1, 81, 6561, 531441, 43046721, 3486784401, 282429536481]",lambda x: (3 * x) ** (4 * x),22876792454961,False,True
"{'fn': 'lambda x: (1 * x) + 4', 'offset': 0}","[4, 5, 6, 7, 8, 9, 10, 11]",lambda x: (1 * x) + 3,12,False,True
"{'fn': 'lambda x: (x * 5) % (3+1)', 'offset': 0}","[0, 1, 2]",lambda x: x,3,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (3 + 1)][x]', 'offset': 0}","[1, 2, 3]",lambda x: x + 1,4,True,True
"{'fn': 'lambda x: (1 * x) * 0', 'offset': 0}","[0, 0, 0, 0]",lambda x: (6 * x) * 0,0,True,True
"{'fn': 'lambda x: (3 * x) | 2', 'offset': 0}","[2, 3, 6]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x],12,True,False
"{'fn': 'lambda x: (x * 5) % (4+1)', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: 0 * x,0,True,True
"{'fn': 'lambda x: (2 * x) + 4', 'offset': 0}","[4, 6, 8]",lambda x: (2 * x) + 4,10,True,True
"{'fn': 'lambda x: (4 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (9 * x) ** 0,1,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 7, 59, 711, 11379, 227583, 5461995, 152935863]",lambda x: (x + 1) * (6 ** x),6107481731,False,False
"{'fn': 'lambda x: (x * 2) % (4+1)', 'offset': 0}","[0, 2, 4, 1, 3, 0, 2, 4]",lambda x: x % 5 if x % 2 == 0 else (x - 1) % 5,1,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 3, 13]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 1)",There isn't a clear pattern in this sequence. Please provide more information or terms to identify the pattern.,True,False
"{'fn': 'lambda x: (5 * x) ** 4', 'offset': 0}","[0, 625, 10000]",lambda x: (5 * x) ** 4,50625,True,True
"{'fn': 'lambda x: (x * 2) % (1+1)', 'offset': 0}","[0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (1 * x) * 4', 'offset': 0}","[0, 4, 8, 12, 16, 20, 24, 28]",lambda x: (4 * x) + 0,32,True,True
"{'fn': 'lambda x: (5 * x) * 1', 'offset': 0}","[0, 5, 10]",lambda x: 5 * x,15,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (4 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 6, 7, 8, 9]",lambda x: x + 1,10,False,False
"{'fn': 'lambda x: 5 ** (4 * x)', 'offset': 0}","[1, 625, 390625, 244140625, 152587890625, 95367431640625]",lambda x: 5 ** (4 * x),59604644775390625,True,True
"{'fn': 'lambda x: (5 * x) + 1', 'offset': 0}","[1, 6, 11, 16, 21, 26, 31]",lambda x: (5 * x) + 1,36,True,True
"{'fn': 'lambda x: (3 * x) ** 4', 'offset': 0}","[0, 81, 1296, 6561, 20736, 50625, 104976]",lambda x: (3 * x) ** 4,196830,True,False
